#Table1
objid,ra,dec,z
1237648703510479093,199.744178211555,-0.628544548691995,0.08023216
1237648703510479113,199.758098531637,-0.66221434716043,0.08462463
1237648703510479132,199.775666757732,-0.752690296231801,0.08408105
1237648703510479143,199.780520444809,-0.704469510996242,0.08792177
1237648703510544542,199.835959801206,-0.762394036131301,0.08888021
1237648703510544559,199.858447550745,-0.730710766398648,0.08446324
1237648703510544596,199.904272978898,-0.767679496796559,0.08246665
1237648703510610093,200.018157718026,-0.741004005597105,0.03384244
1237648703510610183,200.010230028891,-0.808108644024843,0.08275792
1237648703510675592,200.111633890143,-0.741928301452557,0.08435389
1237648703510675593,200.120144775779,-0.806927850662539,0.08545643
1237648703510675685,200.219725876934,-0.714588957549384,0.08687946
1237648703510741181,200.30482899674,-0.645412610565743,0.08400247
1237648703510806625,200.386081193317,-0.780687025689873,0.08322683
1237648703510806859,200.516290971261,-0.821518935463868,0.07863385
1237648703510872178,200.540874238299,-0.773855611189875,0.07772421
1237648703510872217,200.564630551555,-0.63188921162958,0.02321945
1237648703510872234,200.589488048656,-0.801395808174407,0.09293688
1237648703510872275,200.645365178566,-0.679718876633473,0.04545274
1237648703510937836,200.80737308944,-0.682024497800219,0.08636355
1237648703511003300,200.968137958019,-0.694086746988181,0.09266315
1237648703511003354,200.871017276647,-0.755263129417988,0.09478988
1237648703511003385,200.913241663724,-0.753131027395356,0.09422597
1237648703511003433,200.954928117501,-0.723212690329282,0.07561398
1237648703511068873,201.093978797126,-0.64940926604503,0.06314352
1237648703511068883,201.093531514205,-0.786051926000016,0.08303544
1237648703511134403,201.2459362255,-0.725447228382458,0.09894843
1237648703511134425,201.265502836842,-0.671991985627297,0.08564888
1237648703511199857,201.282425783523,-0.639926609265276,0.08501052
1237648703511265301,201.465779628711,-0.679013029351236,0.05488715
1237648703511265325,201.483756145497,-0.70239035023552,0.05567088
1237648703511265430,201.435503168025,-0.64695945888731,0.05450195
1237648703511265449,201.447351217004,-0.706750867850104,0.0551175
1237648703511265544,201.512181961428,-0.75149159414317,0.08584159
1237648703511330928,201.593437846196,-0.81657457792202,0.04305437
1237648703511330955,201.646121142698,-0.768314877788002,0.06703886
1237648703511396543,201.764050422922,-0.813665660956169,0.07450364
1237648703511462133,201.984064433403,-0.73774421597252,0.05481449
1237648703511527664,202.166799861283,-0.747694583488504,0.07520767
1237648703511658628,202.340090559735,-0.779740243568747,0.01644879
1237648703511658641,202.338912782679,-0.632571265418424,0.03666505
1237648703511658651,202.346130811756,-0.669428579713366,0.07534166
1237648703511724158,202.505350019125,-0.832728166745,0.04846639
1237648703511724280,202.622996923854,-0.65163748424357,0.084674
1237648703511789676,202.648602437281,-0.701681414961364,0.08708939
1237648703512117328,203.386342501171,-0.777111872116193,0.07454437
1237648703512117450,203.523700321786,-0.628347685061417,0.0745604
1237648703512183180,203.667634211155,-0.812444250301812,0.0871883
1237648703512183215,203.589697742704,-0.741680032128178,0.02184831
1237648703512248345,203.716064306919,-0.697636004730377,0.07706822
1237648703512248548,203.702371132802,-0.78596871335754,0.08461317
1237648703512379534,204.06418453441,-0.6731075425891,0.08169301
1237648703512641629,204.628003684817,-0.701552174277015,0.07163665
1237648703512641850,204.684603683935,-0.753005306006602,0.08774808
1237648703512707094,204.731960667884,-0.801992580928986,0.08631681
1237648703512707182,204.777621512946,-0.726484536183995,0.08705722
1237648703512772638,204.949015593923,-0.75946076269756,0.08776588
1237648703512772784,204.96445652791,-0.75307927005417,0.02227835
1237648703512772907,204.962929494391,-0.729245324865615,0.08903272
1237648703512838382,205.072964623542,-0.682611700785473,0.08937013
1237648703512838395,205.089660770941,-0.734546934276834,0.08796965
1237648703513035145,205.61359794998,-0.657152859631159,0.08640119
1237648703513100457,205.650396276953,-0.628361675218511,0.07104074
1237648703513100535,205.742014093478,-0.765420756459112,0.07053274
1237648703513100564,205.760906971963,-0.742003104172036,0.06982873
1237648703513165966,205.807279542807,-0.786819197811777,0.08875664
1237648703513231555,205.970840186199,-0.737837841239153,0.08760627
1237648703513231630,206.044712139649,-0.761242085402146,0.08685333
1237648703513428076,206.370430387775,-0.798295749607775,0.08845632
1237648703513428079,206.374166922033,-0.781673247630099,0.08813617
1237648703513428338,206.425529093657,-0.623015964749801,0.07339082
1237648703513493743,206.576677392554,-0.801586179186478,0.088566
1237648703513559257,206.806474060434,-0.671287487417802,0.04749686
1237648703513690404,207.094371600497,-0.766966437064685,0.02614107
1237648703513886920,207.44509349078,-0.741950841567379,0.07854678
1237648703513886931,207.450206152171,-0.728052902514392,0.07823179
1237648703513886932,207.456734987009,-0.72610451163001,0.05310636
1237648703513886964,207.489369141434,-0.803272151311401,0.0927506
1237648703513952486,207.689027807264,-0.783990093844036,0.08276038
1237648703513952504,207.704847288617,-0.811794909569213,0.09100784
1237648703514148993,208.101356753285,-0.802543549733952,0.08923467
1237648703514411038,208.641217050778,-0.776612716220111,0.0270632
1237648703514411195,208.694450578815,-0.67409435898328,0.03762654
